id,totalWinners,totalAmount,winners,startedAt,settledAt,status,gameType,currency,wager,payout,dealerName,dealerUid,numOfParticipants,topSlot_WheelSector,topSlot_Multi,resultType,resultSector,bonusType,bonusMultiplier,cashMinMulti,coinColor,flapperGreen,flapperBlue,flapperYellow,maxMulti,isTopSlotMatched
65de2a73d3572a704f8e2c5f,6252,16842,"[921.07, 622.61, 429.65, 333.72, 285.84]",2024-02-27T18:30:35.247Z,2024-02-27T18:31:14.392Z,Resolved,crazytime,EUR,0.58,0.35,Alise,tts131885_______,1,CoinFlip,4,WinningNumber,2,,,,,,,,2,False
65de2a46d3572a704f8e2c5b,6247,15922,"[921.07, 415.07, 333.72, 300.35, 252.04]",2024-02-27T18:29:46.885Z,2024-02-27T18:30:29.408Z,Resolved,crazytime,EUR,0.58,0.35,Alise,tts131885_______,1,CrazyBonus,1,WinningNumber,2,,,,,,,,2,False
65de2a16d3572a704f8e2c57,6899,16906,"[921.07, 622.61, 343.01, 255.95, 252.04]",2024-02-27T18:29:00.760Z,2024-02-27T18:29:41.102Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,CoinFlip,2,WinningNumber,2,,,,,,,,2,False
65de29e8d3572a704f8e2c54,7143,16951,"[921.07, 622.61, 343.01, 255.95, 252.04]",2024-02-27T18:28:15.482Z,2024-02-27T18:28:54.863Z,Resolved,crazytime,EUR,0.35,0.0,Alise,tts131885_______,1,CashHunt,2,WinningNumber,2,,,,,,,,2,False
65de29bad3572a704f8e2c51,7358,18054,"[921.07, 622.61, 255.95, 252.04, 220.26]",2024-02-27T18:27:27.530Z,2024-02-27T18:28:09.538Z,Resolved,crazytime,EUR,2.59,2.22,Alise,tts131885_______,1,1,1,WinningNumber,2,,,,,,,,2,False
65de298ad3572a704f8e2c4d,6061,25115,"[3337.23, 2764.84, 886.68, 622.61, 555.12]",2024-02-27T18:26:42.660Z,2024-02-27T18:27:21.478Z,Resolved,crazytime,EUR,2.59,0.0,Alise,tts131885_______,1,1,2,WinningNumber,1,,,,,,,,2,True
65de295dd3572a704f8e2c49,8107,30161,"[987.83, 571.68, 526.05, 415.07, 400.47]",2024-02-27T18:25:55.582Z,2024-02-27T18:26:36.522Z,Resolved,crazytime,EUR,2.59,2.22,Alise,tts131885_______,1,10,4,WinningNumber,5,,,,,,,,5,False
65de292fd3572a704f8e2c45,7798,28903,"[987.83, 532.01, 390.0, 300.35, 300.35]",2024-02-27T18:25:09.819Z,2024-02-27T18:25:49.724Z,Resolved,crazytime,EUR,2.59,2.22,Alise,tts131885_______,1,CoinFlip,4,WinningNumber,5,,,,,,,,5,False
65de28fcd3572a704f8e2c42,10952,137135,"[4811.0, 1798.66, 1774.61, 1638.25, 1536.92]",2024-02-27T18:23:18.499Z,2024-02-27T18:24:59.120Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,CoinFlip,3,BonusRound,CrazyBonus,CrazyBonus,,,,25.0,25.0,10.0,25,False
65de2891d3572a704f8e2c3b,9825,132979,"[4201.03, 3298.12, 2027.55, 1935.74, 1650.0]",2024-02-27T18:21:39.208Z,2024-02-27T18:23:12.709Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,Pachinko,7,BonusRound,Pachinko,Pachinko,21,,,,,,21,True
